,day_of_year,sin_year,cos_year
127,128,0.8064799463209448,0.8064799463209448
128,129,0.7961828637826158,0.7961828637826158
129,130,0.7856498550787147,0.7856498550787147
130,131,0.7748840413670407,0.7748840413670407
131,132,0.7638886127905428,0.7638886127905428
132,133,0.7526668275320085,0.7526668275320085
133,134,0.7412220108485958,0.7412220108485958
134,135,0.7295575540864878,0.7295575540864878
135,136,0.717676913675962,0.717676913675962
136,137,0.705583610107178,0.705583610107178
137,138,0.6932812268869777,0.6932812268869777
138,139,0.6807734094770165,0.6807734094770165
139,140,0.6680638642135338,0.6680638642135338
140,141,0.6551563572090853,0.6551563572090853
141,142,0.6420547132365637,0.6420547132365637
142,143,0.6287628145958347,0.6287628145958347
143,144,0.615284599963328,0.615284599963328
144,145,0.6016240632249229,0.6016240632249229
145,146,0.5877852522924732,0.5877852522924732
146,147,0.5737722679043249,0.5737722679043249
147,148,0.5595892624101769,0.5595892624101769
148,149,0.5452404385406513,0.5452404385406513
149,150,0.5307300481619337,0.5307300481619337
150,151,0.5160623910158528,0.5160623910158528
151,152,0.5012418134457758,0.5012418134457758
152,153,0.4862727071086904,0.4862727071086904
153,154,0.47115950767386416,0.47115950767386416
154,155,0.4559066935084588,0.4559066935084588
155,156,0.440518784350495,0.440518784350495
156,157,0.42500033996955416,0.42500033996955416
157,158,0.40935595881562176,0.40935595881562176
158,159,0.3935902766564671,0.3935902766564671
159,160,0.3777079652039649,0.3777079652039649
160,161,0.36171373072976765,0.36171373072976765
161,162,0.3456123126707335,0.3456123126707335
162,163,0.3294084822245304,0.3294084822245304
163,164,0.3131070409358265,0.3131070409358265
164,165,0.2967128192734903,0.2967128192734903
165,166,0.2802306751992163,0.2802306751992163
166,167,0.2636654927280075,0.2636654927280075
167,168,0.24702218048093594,0.24702218048093594
168,169,0.23030567023061221,0.23030567023061221
169,170,0.21352091543979612,0.21352091543979612
170,171,0.19667288979357647,0.19667288979357647
171,172,0.1797665857255624,0.1797665857255624
172,173,0.16280701293851715,0.16280701293851715
173,174,0.14579919691987467,0.14579919691987467
174,175,0.12874817745258088,0.12874817745258088
175,176,0.11165900712169467,0.11165900712169467
176,177,0.09453674981719956,0.09453674981719956
177,178,0.07738647923346301,0.07738647923346301
178,179,0.06021327736579302,0.06021327736579302
179,180,0.04302223300453059,0.04302223300453059
180,181,0.02581844022713308,0.02581844022713308
181,182,0.008606996888688698,0.008606996888688698
182,183,-0.008606996888688453,-0.008606996888688453
183,184,-0.025818440227132835,-0.025818440227132835
184,185,-0.04302223300453034,-0.04302223300453034
185,186,-0.060213277365792774,-0.060213277365792774
186,187,-0.07738647923346277,-0.07738647923346277
187,188,-0.09453674981719933,-0.09453674981719933
188,189,-0.11165900712169444,-0.11165900712169444
189,190,-0.12874817745258066,-0.12874817745258066
190,191,-0.14579919691987442,-0.14579919691987442
191,192,-0.16280701293851646,-0.16280701293851646
192,193,-0.17976658572556214,-0.17976658572556214
193,194,-0.19667288979357622,-0.19667288979357622
194,195,-0.2135209154397959,-0.2135209154397959
195,196,-0.23030567023061196,-0.23030567023061196
