,day_of_year,sin_year,cos_year
216,217,-0.5595892624101767,-0.8287700871745037
217,218,-0.5737722679043247,-0.8190148866680799
218,219,-0.587785252292473,-0.8090169943749475
219,220,-0.6016240632249223,-0.798779372886365
220,221,-0.6152845999633274,-0.7883050558305256
221,222,-0.6287628145958345,-0.7775971469736268
222,223,-0.6420547132365636,-0.7666588193001592
223,224,-0.655156357209085,-0.7554933140726804
224,225,-0.6680638642135336,-0.7441039398713605
225,226,-0.6807734094770164,-0.7324940716135788
226,227,-0.6932812268869775,-0.7206671495538611
227,228,-0.7055836101071777,-0.7086266782644598
228,229,-0.7176769136759618,-0.6963762255968724
229,230,-0.7295575540864874,-0.6839194216246107
230,231,-0.7412220108485954,-0.6712599575675318
231,232,-0.7526668275320083,-0.6584015846980489
232,233,-0.7638886127905429,-0.64534811322955
233,234,-0.7748840413670406,-0.6321034111873488
234,235,-0.7856498550787144,-0.6186714032625032
235,236,-0.7961828637826154,-0.6050560696488494
236,237,-0.8064799463209447,-0.5912614448635782
237,238,-0.8165380514459157,-0.5772916165517278
238,239,-0.8263541987239094,-0.5631507242749187
239,240,-0.8359254794186365,-0.5488429582847199
240,241,-0.8452490573530629,-0.5343725582809793
241,242,-0.8543221697498269,-0.5197438121555157
242,243,-0.8631421280499115,-0.5049610547215202
243,244,-0.8717063187093217,-0.4900286664290594
244,245,-0.8800122039735356,-0.4749510720670502
245,246,-0.888057322629493,-0.4597327394521046
246,247,-0.8958392907349089,-0.4443781781046134
247,248,-0.9033558023246842,-0.4288919379124841
248,249,-0.9106046300942162,-0.41327860778290443
249,250,-0.9175836260593934,-0.3975428142825566
250,251,-0.924290722193093,-0.3816892202666594
251,252,-0.9307239310379793,-0.3657225234972692
252,253,-0.9368813462954315,-0.34964745525122826
253,254,-0.9427611433904206,-0.33346877891818705
254,255,-0.9483615800121716,-0.31719128858910595
255,256,-0.9536809966304455,-0.300819807635668
256,257,-0.9587178169872964,-0.2843591872810036
257,258,-0.9634705485641486,-0.26781430516217486
258,259,-0.9679377830240642,-0.25119006388481957
259,260,-0.9721181966290612,-0.23449138957041052
260,261,-0.9760105506323682,-0.21772323039653224
261,262,-0.9796136916454901,-0.20089055513063528
262,263,-0.9829265519799822,-0.18399835165767986
263,264,-0.9859481499638303,-0.1670516255021195
264,265,-0.9886775902323404,-0.15005539834465262
265,266,-0.9911140639934546,-0.13301470653419636
266,267,-0.9932568492674143,-0.11593459959550066
267,268,-0.9951053111006974,-0.09882013873287211
268,269,-0.99665890175417,-0.08167639533042288
269,270,-0.9979171608653922,-0.06450844944931713
270,271,-0.9988797155850335,-0.04732138832243232
271,272,-0.9995462806873573,-0.03012030484690836
272,273,-0.9999166586547379,-0.012910296075008843
273,274,-0.9999907397361901,0.004303538296243821
274,275,-0.9997685019798909,0.021516097436222233
275,276,-0.9992500112396835,0.03872228089217399
276,277,-0.9984354211555643,0.05591699010060302
277,278,-0.9973249731081556,0.07309512989807687
278,279,-0.9959189961471792,0.0902516100310407
279,280,-0.9942179068939521,0.10738134666416217
280,281,-0.9922222094179324,0.12447926388678869
